id,title,authors,year,journal,discipline,citations2019,p_rep,arm,name
rpp.77,Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.,Minjung Koo and Ayelet Fishbach,2014,JPSP,Social,124,0.758,refuted,dynamics_of_self_regulation_how_un_accom
rpp.8,Stereotypes and retrieval-provoked illusory source recollections.,Chad S. Dodson and James Darragh and Allison Williams,2008,JEPLMC,Cognitive,14,0.539998592,refuted,stereotypes_and_retrieval_provoked_illus
rpp.80,The effects of an implemental mind-set on attitude strength.,Marlone D. Henderson and Yaël de Liver and Peter M. Gollwitzer,2008,JPSP,Social,27,0.190467907,refuted,the_effects_of_an_implemental_mind_set_o
rpp.81,A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.,Nurit Shnabel and Arie Nadler,2008,JPSP,Social,138,0.233830099,refuted,a_needs_based_model_of_reconciliation_sa
rpp.82,The face of success: inferences from chief executive officers' appearance predict company profits.,Nicholas O. Rule and Nalini Ambady,2008,PS,Social,141,0.086,refuted,the_face_of_success_inferences_from_chie
rpp.84,Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.,Peter Fischer and Stefan Schulz-Hardt and Dieter Frey,2008,JPSP,Social,65,0.007708395,robust,selective_exposure_and_information_quant
rpp.86,Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.,Peter Fischer and Tobias Greitemeyer and Dieter Frey,2008,JPSP,Social,86,0.140627311,refuted,self_regulation_and_selective_exposure_t
rpp.87,The space between us: Stereotype threat and distance in interracial contexts.,Phillip Atiba Goff and Claude M. Steele and Paul G. Davies,2008,JPSP,Social,165,0.929110139,refuted,the_space_between_us_stereotype_threat_a
rpp.93,Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.,Sandra L. Murray and Jaye L. Derrick and Sadie Leder and John G. Holmes,2008,JPSP,Social,117,0.2649653,refuted,balancing_connectedness_and_self_protect
rpp.94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",Sean M. McCrea,2008,JPSP,Social,51,0.011765834,robust,self_handicapping_excuse_making_and_coun
rpp.97,Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.,Valerie Purdie-Vaughns and Claude M. Steele and Paul G. Davies and Ruth Ditlmann and Jennifer Randall Crosby,2008,JPSP,Social,240,0.154430586,refuted,social_identity_contingencies_how_divers
